Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
3,UpdateEmployee,1722222852.526003,640,0,1
4,DeleteEmployee,1722222852.526645,1340,0,1
4,DeleteEmployee,1722222852.527987,1410,0,1
2,UpdatePosition,1722222852.529398,713,0,1
3,UpdateEmployee,1722222852.530114,637,0,1
1,InsertPosition,1722222852.530752,592,0,1
4,DeleteEmployee,1722222852.531346,1593,0,1
2,UpdatePosition,1722222852.532953,637,0,1
2,UpdatePosition,1722222852.533593,727,0,1
3,UpdateEmployee,1722222852.534321,697,0,1
3,UpdateEmployee,1722222852.535020,713,0,1
1,InsertPosition,1722222852.535734,623,0,1
2,UpdatePosition,1722222852.536359,708,0,1
1,InsertPosition,1722222852.537068,609,0,1
3,UpdateEmployee,1722222852.537679,664,0,1
3,UpdateEmployee,1722222852.538345,600,0,1
2,UpdatePosition,1722222852.538947,762,0,1
2,UpdatePosition,1722222852.539711,794,0,1
3,UpdateEmployee,1722222852.540506,663,0,1
2,UpdatePosition,1722222852.541171,667,0,1
1,InsertPosition,1722222852.541840,594,0,1
3,UpdateEmployee,1722222852.542435,615,0,1
3,UpdateEmployee,1722222852.543052,652,0,1
1,InsertPosition,1722222852.543705,604,0,1
1,InsertPosition,1722222852.544310,603,0,1
3,UpdateEmployee,1722222852.544915,637,0,1
4,DeleteEmployee,1722222852.545554,1400,0,1
2,UpdatePosition,1722222852.546956,737,0,1
1,InsertPosition,1722222852.547695,614,0,1
4,DeleteEmployee,1722222852.548311,1547,0,1
1,InsertPosition,1722222852.549860,626,0,1
1,InsertPosition,1722222852.550488,642,0,1
1,InsertPosition,1722222852.551132,597,0,1
4,DeleteEmployee,1722222852.551731,1562,0,1
2,UpdatePosition,1722222852.553296,669,0,1
2,UpdatePosition,1722222852.553968,641,0,1
3,UpdateEmployee,1722222852.554610,674,0,1
3,UpdateEmployee,1722222852.555286,675,0,1
3,UpdateEmployee,1722222852.555962,665,0,1
1,InsertPosition,1722222852.556629,657,0,1
3,UpdateEmployee,1722222852.557288,697,0,1
1,InsertPosition,1722222852.557986,613,0,1
2,UpdatePosition,1722222852.558601,720,0,1
3,UpdateEmployee,1722222852.559323,660,0,1
1,InsertPosition,1722222852.559984,606,0,1
2,UpdatePosition,1722222852.560591,698,0,1
1,InsertPosition,1722222852.561290,606,0,1
3,UpdateEmployee,1722222852.561898,692,0,1
4,DeleteEmployee,1722222852.562591,1477,0,1
1,InsertPosition,1722222852.564070,604,0,1
1,InsertPosition,1722222852.564676,602,0,1
1,InsertPosition,1722222852.565279,605,0,1
2,UpdatePosition,1722222852.565886,790,0,1
2,UpdatePosition,1722222852.566677,688,0,1
4,DeleteEmployee,1722222852.567367,1427,0,1
